"word","n"
"reduces chances",5
"refferal code",5
"removing implant",5
"rhesus factor",5
"safe family",5
"safe time",5
"safety measures",5
"sex addiction",5
"sex education",5
"sex frequently",5
"sex libido",5
"sex positions",5
"sexual disease",5
"sexual experience",5
"sexual experiences",5
"sexual organ",5
"sexualy transmitted",5
"skin rushes",5
"smell bad",5
"sti disease",5
"stomach pain",5
"stop giving",5
"surgical removal",5
"term injection",5
"tested positive",5
"time frame",5
"treat genital",5
"treat uti",5
"treated completely",5
"vasectomy reversible",5
"voucher khs",5
"white fluid",5
"woman's body",5
"100 prevent",4
"16 yrs",4
"3mnth injection",4
"3months family",4
"3yr implant",4
"4 96",4
"4 ua",4
"72 hrs",4
"7months pregnant",4
"96 ksh",4
"abdomen pains",4
"acquire hiv",4
"active sexually",4
"afamily planning",4
"affect menstrual",4
"affect reproductive",4
"affect sex",4
"affect sexual",4
"affected person",4
"age 20",4
"age bracket",4
"age limit",4
"apregnant person",4
"april 2017",4
"arm implant",4
"avoid unnecessary",4
"belly fat",4
"bleeding excessively",4
"body shape",4
"break virginity",4
"breast reduce",4
"breast reduces",4
"broken virginity",4
"brownish yellowish",4
"cancer develop",4
"cancer treatable",4
"cevical cancer",4
"check ups",4
"cold season",4
"common side",4
"common stis",4
"condoms accurate",4
"condoms affect",4
"condoms safe",4
"contact hiv",4
"contraceptive options",4
"contraceptives lead",4
"contraceptives leads",4
"contract stis",4
"december 2017",4
"delayed periods",4
"dental dams",4
"distance relationship",4
"dnt feel",4
"dnt knw",4
"dnt understand",4
"doctor told",4
"erection dysfunction",4
"everyday pills",4
"experience periods",4
"experiencing itching",4
"familiy planing",4
"familiy planning",4
"family plannings",4
"farmily planing",4
"farmily planning",4
"feel cramps",4
"feel lower",4
"feel nausea",4
"feel sharp",4
"feeling itchy",4
"fero iris",4
"found negative",4
"fp methods",4
"frequent urination",4
"geting pregnant",4
"girl frend",4
"girls experience",4
"girls safe",4
"giving barth",4
"grow fat",4
"happy mashujaa",4
"haves sex",4
"health facilities",4
"health issues",4
"healthy baby",4
"healthy person",4
"healthy relationship",4
"hiv carriers",4
"hiv spread",4
"hiv start",4
"hiv status",4
"human parpiloma",4
"hving sex",4
"implant affect",4
"implantation bleeding",4
"inaleta cancer",4
"increase libido",4
"infected persons",4
"injection depo",4
"irregular mensuration",4
"iucd coil",4
"jakadala disease",4
"kisumu west",4
"ladies breast",4
"ladies cry",4
"ladies experience",4
"ladies feel",4
"latex condoms",4
"libido power",4
"likes sex",4
"limit chances",4
"login password",4
"loosing weight",4
"lovely night",4
"low production",4
"lower left",4
"main reason",4
"male pills",4
"masturbation healthy",4
"matulo dispensary",4
"maximum amount",4
"medical clinic",4
"medical condition",4
"menestrual periods",4
"menstrual blood",4
"menstrual cycles",4
"menstruation cycle",4
"menstural period",4
"mentrual cycle",4
"meny types",4
"method suitable",4
"migori county",4
"mind telling",4
"minimal side",4
"miss taking",4
"missed periods",4
"mood swings",4
"natumia pills",4
"nearby clinic",4
"negative results",4
"offer family",4
"one's periods",4
"opposite sex",4
"overian cancer",4
"ovulation period",4
"p2 affects",4
"p2 drugs",4
"p2 effective",4
"p2 immediately",4
"painful menstrual",4
"painful pimples",4
"parpiloma virus",4
"partner happy",4
"passing urine",4
"past 24hours",4
"past 5",4
"patiently waiting",4
"period cramps",4
"period dates",4
"periods takes",4
"person start",4
"pill affect",4
"pills method",4
"pills safe",4
"planning affects",4
"positive effects",4
"practice family",4
"pregnancy fertility",4
"pregnancy symptoms",4
"pregnant 3",4
"pregnant immediatly",4
"premarital sex",4
"prevent breast",4
"prevent pregnancies",4
"prevent syphilis",4
"preventing stis",4
"prevents pregnancy",4
"prolonged bleeding",4
"prostrate canser",4
"question answered",4
"question yesterday",4
"recurring uti",4
"referral code",4
"relationship issues",4
"removed implant",4
"reoccurring yeast",4
"reproduction health",4
"reproduction system",4
"reproductive issues",4
"screening session",4
"seek medication",4
"servical cancer",4
"severe headache",4
"sex affect",4
"sex desire",4
"sex kill",4
"sex organs",4
"sex pills",4
"sex regularly",4
"sex sweet",4
"sexual infection",4
"sexual inter",4
"sexual organs",4
"sexual relations",4
"sexual satisfaction",4
"sickle cell",4
"signs start",4
"sitikho ward",4
"skin rashes",4
"smsscreen starting",4
"someone's body",4
"start bleeding",4
"start feeling",4
"started attending",4
"starting user",4
"starts counting",4
"stis disease",4
"stomach ache",4
"stomach aches",4
"stop pregnancy",4
"swali langu",4
"taking contraceptives",4
"teenage girls",4
"thick yellow",4
"tomorrow morning",4
"track infections",4
"tract infections",4
"transmited infection",4
"transmited infections",4
"trust condoms",4
"tubal lication",4
"tumia family",4
"ua advice",4
"ultra sound",4
"unborn babies",4
"unborn baby",4
"unmarried couples",4
"unmarried people",4
"unsafe sex",4
"user screening",4
"vaginal odour",4
"varginal discharge",4
"varicose veins",4
"virginal fluid",4
"voucher ksh200",4
"voucher transportation",4
"waiting 4",4
"west bukusu",4
"western region",4
"white fluids",4
"woman's health",4
"woman's libido",4
"women cry",4
"women periods",4
"women reach",4
"www safaricom",4
"03 22",3
"1 2018",3
"13 october",3
"1month pregnant",3
"1st born",3
